ticker;score_sector;score_general;score_final;sector;p_l;p_vp;dividend_yield;crescimento_lucro;roe;payout_ratio;number_code;outlier
PDGR3;0,0;0,0;0,0;Real Estate;-0,00330033;;;;;;3;False
ATED3;0,0;0,0;0,0;;;;;;;;3;False
PDTC3;0,0;0,0;0,0;Technology;;0,839416;3,35;;-16,264;;3;False
BBDC3;0,0;0,0;0,0;Financial Services;;0,7009816;1,8599999999999999;189,9;10,443;0,7246;3;False
ITUB3;0,0;0,0;0,0;Financial Services;;1,4485093;5,7299999999999995;27,0;20,044999999999998;0,6366;3;False
BRAP3;0,0;0,0;0,0;Financial Services;;0,6979962;8,58;-6,7;21,426001;0,45470002;3;False
SANB4;0,0;0,0;0,0;Financial Services;;1,136046;6,0500003;76,4;15,251000000000001;0,4668;4;False
DMVF3;0,0;0,0;0,0;Healthcare;;0,34672257;;78,7;3,5999999999999996;;3;False
PINE3;0,0;0,0;0,0;Financial Services;;0,8469539;13,76;31,8;22,778000000000002;0,1892;3;False
BMEB4;0,0;0,0;0,0;Financial Services;;1,930755;5,7700000000000005;36,4;40,726003;0,4541;4;False
BEES3;0,0;0,0;0,0;Financial Services;;1,1359533;3,47;55,900000000000006;17,32;0,488;3;False
